country,country_count,total_wealth_mil,population
France,35,499500,67059887
United States of America,754,4448500,328239523
Mexico,13,152300,126014024
India,157,617400,1366417754
Spain,25,115400,47076781
China,523,1767200,1397715000
Canada,42,159200,36991981
Germany,102,444800,83132799
Switzerland,78,392500,8574832
Belgium,3,34900,11484055
Hong Kong,68,304400,0
Austria,11,68800,8877067
Japan,38,136800,126226568
United Kingdom,82,351400,66834405
Australia,43,163900,25766605
Indonesia,25,113800,270203917
United Arab Emirates,17,92400,9770529
Russia,79,328100,144373535
Chile,6,32400,18952038
Monaco,17,63900,38964
Czech Republic,7,40000,10669709
Sweden,26,85300,10285453
Thailand,28,93700,69625582
Uzbekistan,1,12000,33580650
Singapore,46,131800,5703569
Nigeria,3,25000,200963599
Israel,26,69700,9053300
Italy,55,152400,60297396
South Africa,5,22600,58558270
Brazil,44,103000,212559417
Malaysia,11,31700,32447385
South Korea,29,75200,51709098
New Zealand,2,9500,4841000
Philippines,14,38800,108116615
Taiwan,43,112000,0
Norway,9,25100,5347896
Egypt,4,13000,100388073
Denmark,7,38600,5818553
Eswatini (Swaziland),1,6000,0
Colombia,1,5900,50339443
Netherlands,10,23200,17332850
Poland,5,17100,37970874
Bahamas,2,7700,0
Cayman Islands,3,10400,0
Ukraine,6,10900,44385155
Greece,3,8800,10716322
Turkey,25,50800,83429615
Argentina,4,10600,44938712
Georgia,1,4600,3720382
Portugal,1,4400,10269417
Algeria,1,4300,43053054
Kazakhstan,7,25000,18513930
Vietnam,6,11800,96462106
Latvia,1,3900,1912789
Finland,7,13500,5520314
Bermuda,2,4500,0
Luxembourg,1,3300,645397
British Virgin Islands,1,3200,0
Cambodia,1,2700,16486542
Lebanon,2,5400,6855713
Ireland,4,9200,0
Oman,1,2600,5266535
Cyprus,5,9200,1198575
Guernsey,1,2200,0
Liechtenstein,1,2200,38019
Romania,3,4500,19356544
Turks and Caicos Islands,1,1900,0
Nepal,1,1700,28608710
Qatar,2,2800,2832067
Uruguay,1,1700,3461734
Slovakia,2,2900,5454073
Andorra,1,1500,77142
Bahrain,1,1500,1501635
Hungary,3,3800,9769949
Morocco,2,2600,36910560
Peru,2,1400,32510453
Tanzania,1,1400,58005463
Armenia,1,1200,2957731
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
